ts,symbol,funding_rate,funding_time_ms,mark_price,index_price
1672531200000,BTCUSDT,0.00010000,1672531200000,,
1672560000008,BTCUSDT,0.00010000,1672560000008,,
1672588800000,BTCUSDT,0.00000691,1672588800000,,
1672617600000,BTCUSDT,-0.00001488,1672617600000,,
1672646400008,BTCUSDT,-0.00004356,1672646400008,,
1672675200015,BTCUSDT,0.00002670,1672675200015,,
1672704000003,BTCUSDT,0.00010000,1672704000003,,
1672732800018,BTCUSDT,0.00008977,1672732800018,,
1672761600000,BTCUSDT,0.00003322,1672761600000,,
1672790400000,BTCUSDT,0.00006489,1672790400000,,
1672819200016,BTCUSDT,0.00003388,1672819200016,,
1672848000011,BTCUSDT,0.00004931,1672848000011,,
1672876800009,BTCUSDT,0.00005417,1672876800009,,
1672905600011,BTCUSDT,0.00004436,1672905600011,,
1672934400000,BTCUSDT,0.00007264,1672934400000,,
1672963200005,BTCUSDT,0.00005587,1672963200005,,
1672992000001,BTCUSDT,0.00006591,1672992000001,,
1673020800000,BTCUSDT,0.00008658,1673020800000,,
1673049600006,BTCUSDT,0.00002508,1673049600006,,
1673078400017,BTCUSDT,0.00000671,1673078400017,,
1673107200000,BTCUSDT,0.00010000,1673107200000,,
1673136000015,BTCUSDT,0.00005657,1673136000015,,
1673164800000,BTCUSDT,0.00010000,1673164800000,,
1673193600010,BTCUSDT,0.00007452,1673193600010,,
1673222400003,BTCUSDT,0.00005796,1673222400003,,
1673251200000,BTCUSDT,-0.00000666,1673251200000,,
1673280000006,BTCUSDT,0.00000905,1673280000006,,
1673308800003,BTCUSDT,0.00002417,1673308800003,,
1673337600021,BTCUSDT,0.00009685,1673337600021,,
1673366400000,BTCUSDT,0.00003129,1673366400000,,
1673395200011,BTCUSDT,0.00002761,1673395200011,,
1673424000006,BTCUSDT,0.00002477,1673424000006,,
1673452800004,BTCUSDT,-0.00000211,1673452800004,,
1673481600000,BTCUSDT,0.00007549,1673481600000,,
1673510400000,BTCUSDT,0.00010000,1673510400000,,
1673539200000,BTCUSDT,0.00010000,1673539200000,,
1673568000004,BTCUSDT,0.00010000,1673568000004,,
1673596800000,BTCUSDT,0.00010000,1673596800000,,
1673625600018,BTCUSDT,0.00007160,1673625600018,,
1673654400000,BTCUSDT,0.00008746,1673654400000,,
1673683200001,BTCUSDT,0.00045847,1673683200001,,
1673712000000,BTCUSDT,0.00010000,1673712000000,,
1673740800010,BTCUSDT,0.00013712,1673740800010,,
1673769600002,BTCUSDT,0.00012434,1673769600002,,
1673798400000,BTCUSDT,0.00019892,1673798400000,,
1673827200010,BTCUSDT,0.00010000,1673827200010,,
1673856000007,BTCUSDT,0.00010000,1673856000007,,
1673884800000,BTCUSDT,0.00010000,1673884800000,,
1673913600004,BTCUSDT,0.00010000,1673913600004,,
1673942400005,BTCUSDT,0.00010000,1673942400005,,
1673971200001,BTCUSDT,0.00010000,1673971200001,,
1674000000008,BTCUSDT,0.00010000,1674000000008,,
1674028800009,BTCUSDT,0.00010000,1674028800009,,
1674057600017,BTCUSDT,0.00010000,1674057600017,,
1674086400000,BTCUSDT,0.00010000,1674086400000,,
1674115200015,BTCUSDT,0.00010000,1674115200015,,
1674144000012,BTCUSDT,0.00010000,1674144000012,,
1674172800000,BTCUSDT,0.00010000,1674172800000,,
1674201600000,BTCUSDT,0.00010000,1674201600000,,
1674230400000,BTCUSDT,0.00010000,1674230400000,,
1674259200013,BTCUSDT,0.00010000,1674259200013,,
1674288000001,BTCUSDT,0.00010000,1674288000001,,
1674316800016,BTCUSDT,0.00010000,1674316800016,,
1674345600000,BTCUSDT,0.00010000,1674345600000,,
1674374400000,BTCUSDT,0.00010000,1674374400000,,
1674403200023,BTCUSDT,0.00010000,1674403200023,,
1674432000014,BTCUSDT,0.00010000,1674432000014,,
1674460800014,BTCUSDT,0.00010000,1674460800014,,
1674489600016,BTCUSDT,0.00010000,1674489600016,,
1674518400008,BTCUSDT,0.00010000,1674518400008,,
1674547200008,BTCUSDT,0.00010000,1674547200008,,
1674576000000,BTCUSDT,0.00010000,1674576000000,,
1674604800012,BTCUSDT,0.00010000,1674604800012,,
1674633600000,BTCUSDT,0.00010000,1674633600000,,
1674662400010,BTCUSDT,0.00010000,1674662400010,,
1674691200010,BTCUSDT,0.00010000,1674691200010,,
1674720000003,BTCUSDT,0.00010000,1674720000003,,
1674748800020,BTCUSDT,0.00010000,1674748800020,,
1674777600008,BTCUSDT,0.00010000,1674777600008,,
1674806400000,BTCUSDT,0.00009541,1674806400000,,
1674835200000,BTCUSDT,0.00010000,1674835200000,,
1674864000009,BTCUSDT,0.00010000,1674864000009,,
1674892800018,BTCUSDT,0.00010000,1674892800018,,
1674921600005,BTCUSDT,0.00010000,1674921600005,,
1674950400011,BTCUSDT,0.00010000,1674950400011,,
1674979200000,BTCUSDT,0.00010000,1674979200000,,
1675008000008,BTCUSDT,0.00010000,1675008000008,,
1675036800001,BTCUSDT,0.00010000,1675036800001,,
1675065600000,BTCUSDT,0.00010000,1675065600000,,
1675094400000,BTCUSDT,0.00010000,1675094400000,,
1675123200005,BTCUSDT,0.00010000,1675123200005,,
1675152000000,BTCUSDT,0.00010000,1675152000000,,
1675180800007,BTCUSDT,0.00010000,1675180800007,,
