ts,instrument_name,interest_8h,interest_1h,mark_price,index_price
1717203600000,BTC-PERPETUAL,5.906875354771718e-05,1.5118550709829927e-06,,67582.91
1717207200000,BTC-PERPETUAL,5.462127147459859e-05,2.4934732987223305e-06,,67485.64
1717210800000,BTC-PERPETUAL,4.022237938833533e-05,9.946129397454879e-07,,67662.05
1717214400000,BTC-PERPETUAL,2.1891002153420414e-05,1.8025391528302077e-06,,67666.24
1717218000000,BTC-PERPETUAL,1.8945884739403988e-05,3.7716535733944414e-07,,67642.98
1717221600000,BTC-PERPETUAL,1.553258993222161e-05,3.900968932759612e-06,,67636.47
1717225200000,BTC-PERPETUAL,1.5455745127522973e-05,2.5235082873257216e-06,,67638.45
1717228800000,BTC-PERPETUAL,1.4662884215865736e-05,1.085599826793277e-06,,67583.24
1717232400000,BTC-PERPETUAL,1.6125013404894405e-05,2.954653218227348e-06,,67644.44
1717236000000,BTC-PERPETUAL,2.4310364597758356e-05,1.0723618382857047e-05,,67645.32
1717239600000,BTC-PERPETUAL,3.0037774374719805e-05,6.659427459737661e-06,,67589.26
1717243200000,BTC-PERPETUAL,3.2883108443750145e-05,4.640839113796419e-06,,67608.77
1717246800000,BTC-PERPETUAL,4.0589642990387083e-05,8.090779762150371e-06,,67670.88
1717250400000,BTC-PERPETUAL,4.340128815251818e-05,6.719561867776122e-06,,67655.17
1717254000000,BTC-PERPETUAL,4.801171610835103e-05,7.134502770514987e-06,,67741.14
1717257600000,BTC-PERPETUAL,4.8611582949544166e-05,1.7277975691904348e-06,,67638.89
1717261200000,BTC-PERPETUAL,5.138513047354865e-05,5.686389524009397e-06,,67642.87
1717264800000,BTC-PERPETUAL,4.4045319474524644e-05,3.3831558734515117e-06,,67735.89
1717268400000,BTC-PERPETUAL,4.108501457829328e-05,3.738197729822341e-06,,67703.91
1717272000000,BTC-PERPETUAL,4.016673350230915e-05,3.7172618641459735e-06,,67701.95
1717275600000,BTC-PERPETUAL,3.857131989225939e-05,6.468867720144261e-06,,67746.88
1717279200000,BTC-PERPETUAL,3.644160071406915e-05,4.603468958979268e-06,,67709.94
1717282800000,BTC-PERPETUAL,3.152113579302442e-05,2.1757944885147503e-06,,67728.56
1717286400000,BTC-PERPETUAL,3.008939893819345e-05,3.4148356008921264e-07,,67720.82
1717290000000,BTC-PERPETUAL,2.4751159461597797e-05,3.471136732012294e-07,,67831.5
1717293600000,BTC-PERPETUAL,2.2065882361973407e-05,6.694378645569258e-07,,67695.56
1717297200000,BTC-PERPETUAL,1.8466508897678747e-05,1.4745908729813632e-07,,67670.76
1717300800000,BTC-PERPETUAL,1.81989936146999e-05,3.448584085460301e-06,,67736.29
1717304400000,BTC-PERPETUAL,1.451614328806012e-05,2.777798479145678e-06,,67788.21
1717308000000,BTC-PERPETUAL,1.2480576287960719e-05,2.5762816335050836e-06,,67686.02
1717311600000,BTC-PERPETUAL,1.5212230379801202e-05,4.901534234683197e-06,,67777.71
1717315200000,BTC-PERPETUAL,1.706778690274517e-05,2.200586595278996e-06,,67681.68
1717318800000,BTC-PERPETUAL,2.2543098968282324e-05,5.782298506745783e-06,,67704.35
1717322400000,BTC-PERPETUAL,2.4946580755842127e-05,3.1171609971114965e-06,,67484.69
1717326000000,BTC-PERPETUAL,2.7368009662439932e-05,2.570884564671486e-06,,67491.08
1717329600000,BTC-PERPETUAL,2.7209869152083506e-05,3.2554530589908504e-06,,68200.94
1717333200000,BTC-PERPETUAL,3.0520305423980045e-05,6.106461850000173e-06,,67895.15
1717336800000,BTC-PERPETUAL,3.43323970537408e-05,6.450366938961737e-06,,68119.51
1717340400000,BTC-PERPETUAL,5.0249458051892714e-05,2.0883513295102416e-05,,68188.6
1717344000000,BTC-PERPETUAL,7.025135156327039e-05,2.2437358831325102e-05,,68099.76
1717347600000,BTC-PERPETUAL,8.057280485366527e-05,1.6176081611624233e-05,,68057.8
1717351200000,BTC-PERPETUAL,8.35070611537092e-05,6.356239849593102e-06,,67846.92
1717354800000,BTC-PERPETUAL,8.113346955113285e-05,1.9062906722963443e-07,,67669.98
1717358400000,BTC-PERPETUAL,7.894024342586964e-05,2.4122612003051924e-07,,67710.29
1717362000000,BTC-PERPETUAL,7.288617536283517e-05,3.7792409154752035e-07,,67791.12
1717365600000,BTC-PERPETUAL,7.223681547624475e-05,5.554562352639216e-06,,67779.37
1717369200000,BTC-PERPETUAL,5.2313044779126545e-05,9.022104160023629e-07,,67892.42
