id,ts,venue,symbol,funding_rate,funding_interval_hours,mark_price,index_price
1,2025-11-13 15:00:00.014+00,hyperliquid_xyz,xyz:TSLA,0.00004230,1.00,,
2,2025-11-13 16:00:00.012+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
3,2025-11-13 17:00:00.042+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
4,2025-11-13 18:00:00.058+00,hyperliquid_xyz,xyz:TSLA,0.00001258,1.00,,
5,2025-11-13 19:00:00.062+00,hyperliquid_xyz,xyz:TSLA,0.00004287,1.00,,
6,2025-11-13 20:00:00.061+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
7,2025-11-13 21:00:00.046+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
8,2025-11-13 22:00:00.013+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
9,2025-11-13 23:00:00.059+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
10,2025-11-14 00:00:00.13+00,hyperliquid_xyz,xyz:TSLA,0.00001375,1.00,,
11,2025-11-14 01:00:00.014+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
12,2025-11-14 02:00:00.069+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
13,2025-11-14 03:00:00.085+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
14,2025-11-14 04:00:00.024+00,hyperliquid_xyz,xyz:TSLA,0.00000455,1.00,,
15,2025-11-14 05:00:00.029+00,hyperliquid_xyz,xyz:TSLA,0.00005825,1.00,,
16,2025-11-14 06:00:00.096+00,hyperliquid_xyz,xyz:TSLA,0.00008676,1.00,,
17,2025-11-14 07:00:00.019+00,hyperliquid_xyz,xyz:TSLA,0.00009447,1.00,,
18,2025-11-14 08:00:00.098+00,hyperliquid_xyz,xyz:TSLA,0.00001250,1.00,,
19,2025-11-14 09:00:00.137+00,hyperliquid_xyz,xyz:TSLA,0.00009840,1.00,,
20,2025-11-14 10:00:00.036+00,hyperliquid_xyz,xyz:TSLA,0.00005880,1.00,,
