ts,coin,funding_rate,funding_velocity,mark_price,open_interest
1717200000073,BTC,0.0000200073,,0.0006600581,
1717203600165,BTC,0.0000300994,,0.0007407954,
1717207200110,BTC,0.0000339201,,0.0007713608,
1717210800122,BTC,0.0000434533,,0.0008476263,
1717214400101,BTC,0.0000475573,,0.0008804581,
1717218000014,BTC,0.0000570376,,0.0009563007,
1717221600087,BTC,0.0000530236,,0.0009241888,
1717225200083,BTC,0.0000396906,,0.0008175247,
1717228800169,BTC,0.0000607276,,0.0009858207,
1717232400115,BTC,0.0000493363,,0.0008946901,
1717236000077,BTC,0.0000380164,,0.0008041314,
1717239600030,BTC,0.000045025,,0.0008602004,
1717243200012,BTC,0.0000581982,,0.000965586,
1717246800040,BTC,0.0000518163,,0.00091453,
1717250400016,BTC,0.0000595688,,0.00097655,
1717254000036,BTC,0.0000298899,,0.0007391191,
1717257600026,BTC,0.0000305979,,0.0007447836,
1717261200050,BTC,0.0000125,,0.0005950979,
1717264800075,BTC,0.0000125,,0.0005208706,
1717268400043,BTC,0.0000125,,0.0005582844,
1717272000046,BTC,0.0000212895,,0.0006703157,
1717275600027,BTC,0.0000317243,,0.0007537944,
1717279200042,BTC,0.0000188179,,0.0006505433,
1717282800050,BTC,0.000015821,,0.0006265682,
1717286400064,BTC,0.0000296385,,0.0007371078,
1717290000107,BTC,0.0000125,,0.0005801086,
1717293600063,BTC,0.0000125,,0.0005867838,
1717297200047,BTC,0.0000125,,0.000553529,
1717300800053,BTC,0.0000125,,0.0003894183,
1717304400018,BTC,0.0000125,,0.0003059553,
1717308000022,BTC,0.0000125,,0.0003689168,
1717311600026,BTC,0.0000125,,0.0003303222,
1717315200025,BTC,0.0000125,,0.000407159,
1717318800023,BTC,0.0000125,,0.0002770096,
1717322400035,BTC,0.0000125,,0.0003593358,
1717326000026,BTC,0.0000125,,0.0003348454,
1717329600036,BTC,0.0000195499,,0.0006563995,
1717333200029,BTC,0.0000125,,0.0004908302,
1717336800044,BTC,0.0000125,,0.0003407735,
1717340400101,BTC,0.0000212814,,0.000670251,
1717344000032,BTC,0.0000354963,,0.0007839704,
1717347600094,BTC,0.0000125,,0.0005900907,
1717351200123,BTC,0.0000125,,0.0003233529,
1717354800027,BTC,0.0000125,,0.0005618247,
1717358400001,BTC,0.0000284146,,0.0007273166,
1717362000101,BTC,0.0000268571,,0.0007148571,
1717365600102,BTC,0.0000136582,,0.0006092653,
1717369200035,BTC,0.0000340843,,0.0007726741,
1717372800103,BTC,0.0000345249,,0.000776199,
1717376400031,BTC,0.0000125,,0.0004025751,
1717380000093,BTC,0.0000268792,,0.0007150332,
1717383600073,BTC,0.0000534152,,0.0009273216,
1717387200178,BTC,0.0000688953,,0.0010511628,
1717390800099,BTC,0.0000699317,,0.0010594535,
1717394400056,BTC,0.0000733333,,0.0010866661,
1717398000061,BTC,0.0001123955,,0.0013991641,
1717401600140,BTC,0.0000657064,,0.0010256512,
1717405200022,BTC,0.0000373436,,0.0007987487,
1717408800002,BTC,0.0000341445,,0.0007731561,
1717412400154,BTC,0.000028334,,0.0007266719,
1717416000072,BTC,0.000079003,,0.0011320243,
1717419600019,BTC,0.0000991834,,0.0012934672,
1717423200012,BTC,0.0000918994,,0.001235195,
1717426800060,BTC,0.0000703432,,0.0010627454,
1717430400084,BTC,0.0001042901,,0.001334321,
1717434000018,BTC,0.0000274016,,0.0007192128,
1717437600030,BTC,0.0000125,,0.0005326503,
1717441200089,BTC,0.0000619909,,0.0009959271,
1717444800081,BTC,0.0000277395,,0.0007219161,
1717448400000,BTC,0.0000672641,,0.0010381129,
1717452000002,BTC,0.0000201407,,0.0006611254,
1717455600099,BTC,0.0000179066,,0.0006432528,
1717459200140,BTC,0.0000125,,0.0005346572,
1717462800082,BTC,0.0000239428,,0.0006915426,
1717466400017,BTC,0.000029081,,0.0007326482,
1717470000083,BTC,0.0000480434,,0.0008843474,
1717473600033,BTC,0.000065947,,0.0010275762,
1717477200076,BTC,0.0000787166,,0.0011297325,
1717480800003,BTC,0.0000841728,,0.0011733821,
1717484400121,BTC,0.0000412054,,0.000829643,
1717488000155,BTC,0.000076557,,0.0011124563,
1717491600125,BTC,0.0000571641,,0.0009573127,
1717495200071,BTC,0.0000125,,0.0002183235,
1717498800072,BTC,0.0000125,,0.0003787649,
1717502400161,BTC,0.0000321053,,0.0007568423,
1717506000071,BTC,0.000048634,,0.0008890716,
1717509600069,BTC,0.0000393101,,0.0008144806,
1717513200025,BTC,0.0000284362,,0.0007274897,
1717516800130,BTC,0.0000147386,,0.0006179085,
1717520400022,BTC,0.0000331481,,0.0007651849,
1717524000137,BTC,0.0000374898,,0.0007999181,
1717527600142,BTC,0.0000296528,,0.000737222,
1717531200132,BTC,0.000031838,,0.0007547038,
1717534800004,BTC,0.0000388837,,0.00081107,
1717538400075,BTC,0.0000557717,,0.0009461736,
1717542000016,BTC,0.0000171175,,0.00063694,
1717545600053,BTC,0.0000165451,,0.0006323606,
1717549200081,BTC,0.00005153,,0.0009122399,
1717552800140,BTC,0.0000619543,,0.0009956342,
1717556400086,BTC,0.000044088,,0.0008527044,
1717560000115,BTC,0.0000496201,,0.000896961,
1717563600050,BTC,0.0000567375,,0.0009539002,
1717567200082,BTC,0.0000150303,,0.0006202423,
1717570800089,BTC,0.0000247437,,0.0006979495,
1717574400106,BTC,0.0000492361,,0.0008938889,
1717578000119,BTC,0.0000125,,0.0004594908,
1717581600128,BTC,0.0000125,,0.0005027882,
1717585200054,BTC,0.0000125,,0.0003240598,
1717588800031,BTC,0.0000125,,0.0004099757,
1717592400033,BTC,0.0000125,,0.0003147117,
1717596000082,BTC,0.0000125,,0.0003585113,
1717599600140,BTC,0.0000125,,0.0005289674,
1717603200025,BTC,0.0000125,,0.0005467786,
1717606800001,BTC,0.0000125,,0.0002745662,
1717610400033,BTC,0.0000125,,-0.000022397,
1717614000045,BTC,0.0000125,,0.0004233838,
